alg,path_len,visited_points,queue_rest_size,time_ms,N
astar,10,28,18,0.5140304565429688,1
castar,10,28,18,0.5190372467041016,1
hastar,5,42,37,1.9078254699707031,1
astar,11,49,22,0.5197525024414062,2
castar,11,31,20,0.21696090698242188,2
hastar,3,145,118,2.2661685943603516,2
astar,8,32,15,0.3249645233154297,3
castar,8,22,14,0.14591217041015625,3
hastar,4,100,92,1.4431476593017578,3
astar,20,125,35,1.2290477752685547,4
castar,20,58,38,0.3440380096435547,4
hastar,6,246,156,5.487203598022461,4
astar,5,14,9,0.125885009765625,5
castar,5,14,9,0.07915496826171875,5
hastar,4,33,29,0.3211498260498047,5
astar,13,66,25,0.5328655242919922,6
castar,13,37,24,0.2491474151611328,6
hastar,6,168,157,2.8591156005859375,6
astar,17,40,23,0.2570152282714844,7
castar,17,40,23,0.209808349609375,7
hastar,3,19,16,0.1811981201171875,7
astar,2,5,3,0.03790855407714844,8
castar,2,5,3,0.029087066650390625,8
hastar,2,13,11,0.10824203491210938,8
astar,9,30,15,0.20575523376464844,9
castar,9,23,14,0.13899803161621094,9
hastar,5,100,91,1.1568069458007812,9
astar,18,52,34,0.32782554626464844,10
castar,18,52,34,0.2338886260986328,10
hastar,6,48,42,0.3800392150878906,10
astar,5,13,6,0.08702278137207031,11
castar,5,10,5,0.048160552978515625,11
hastar,4,46,41,0.4241466522216797,11
astar,11,32,21,0.1690387725830078,12
castar,11,32,21,0.1499652862548828,12
hastar,4,29,25,0.2617835998535156,12
astar,11,52,21,0.33211708068847656,13
castar,11,31,20,0.13709068298339844,13
hastar,5,146,137,1.9342899322509766,13
astar,11,31,20,0.1800060272216797,14
castar,11,31,20,0.23317337036132812,14
hastar,6,80,70,0.8249282836914062,14
astar,19,45,26,0.23412704467773438,15
castar,19,45,26,0.22077560424804688,15
hastar,4,62,50,0.6549358367919922,15
astar,5,14,9,0.080108642578125,16
castar,5,14,9,0.06103515625,16
hastar,2,13,11,0.102996826171875,16
astar,15,87,24,0.6000995635986328,17
castar,15,37,22,0.1621246337890625,17
hastar,4,193,130,2.851724624633789,17
astar,9,25,16,0.1380443572998047,18
castar,9,25,16,0.10800361633300781,18
hastar,5,40,35,0.3581047058105469,18
astar,11,58,22,0.43487548828125,19
castar,11,31,20,0.13375282287597656,19
hastar,5,156,120,1.8477439880371094,19
astar,18,51,33,0.225067138671875,20
castar,18,51,33,0.1990795135498047,20
hastar,5,41,36,0.3819465637207031,20
astar,12,34,22,0.15497207641601562,21
castar,12,34,22,0.13899803161621094,21
hastar,4,80,69,0.6499290466308594,21
astar,2,5,3,0.03933906555175781,22
castar,2,5,3,0.025033950805664062,22
hastar,2,15,13,0.15211105346679688,22
astar,18,49,31,0.21600723266601562,23
castar,18,49,31,0.19288063049316406,23
hastar,6,124,107,1.1141300201416016,23
astar,13,66,25,0.4069805145263672,24
castar,13,37,24,0.18405914306640625,24
hastar,3,168,156,2.315044403076172,24
astar,5,10,5,0.11372566223144531,25
castar,5,10,5,0.054836273193359375,25
hastar,2,29,24,0.2570152282714844,25
astar,8,22,14,0.11515617370605469,26
