N,depth,density,distance
0,7,0.0,37
1,7,0.0,52
2,7,0.0,71
3,7,0.0,29
4,7,0.0,53
5,7,0.0,22
6,7,0.0,52
7,7,0.0,29
8,7,0.0,12
9,7,0.0,44
10,7,0.0,20
11,7,0.0,50
12,7,0.0,35
13,7,0.0,34
14,7,0.0,58
15,7,0.0,48
16,7,0.0,52
17,7,0.0,93
18,7,0.0,48
19,7,0.0,42
20,7,0.0,15
21,7,0.0,74
22,7,0.0,64
23,7,0.0,26
24,7,0.0,57
25,7,0.0,21
26,7,0.0,49
27,7,0.0,79
28,7,0.0,87
29,7,0.0,40
30,7,0.0,20
31,7,0.0,30
32,7,0.0,64
33,7,0.0,13
34,7,0.0,6
35,7,0.0,46
36,7,0.0,45
37,7,0.0,78
38,7,0.0,68
39,7,0.0,59
40,7,0.0,40
41,7,0.0,49
42,7,0.0,54
43,7,0.0,54
44,7,0.0,59
45,7,0.0,39
46,7,0.0,38
47,7,0.0,36
48,7,0.0,50
49,7,0.0,27
50,7,0.0,66
51,7,0.0,39
52,7,0.0,58
53,7,0.0,64
54,7,0.0,30
55,7,0.0,49
56,7,0.0,57
57,7,0.0,43
58,7,0.0,48
59,7,0.0,26
60,7,0.0,68
61,7,0.0,49
62,7,0.0,42
63,7,0.0,19
64,7,0.0,39
65,7,0.0,59
66,7,0.0,33
67,7,0.0,49
68,7,0.0,45
69,7,0.0,41
70,7,0.0,71
71,7,0.0,2
72,7,0.0,57
73,7,0.0,104
74,7,0.0,22
75,7,0.0,91
76,7,0.0,52
77,7,0.0,28
78,7,0.0,33
79,7,0.0,19
80,7,0.0,37
81,7,0.0,41
82,7,0.0,53
83,7,0.0,67
84,7,0.0,42
85,7,0.0,73
86,7,0.0,11
87,7,0.0,17
88,7,0.0,14
89,7,0.0,48
90,7,0.0,53
91,7,0.0,19
92,7,0.0,57
93,7,0.0,9
94,7,0.0,69
95,7,0.0,39
96,7,0.0,11
97,7,0.0,41
98,7,0.0,25
99,7,0.0,36
100,7,0.0,55
101,7,0.0,32
102,7,0.0,9
103,7,0.0,8
104,7,0.0,70
105,7,0.0,75
106,7,0.0,30
107,7,0.0,59
108,7,0.0,37
109,7,0.0,42
110,7,0.0,79
111,7,0.0,22
112,7,0.0,57
113,7,0.0,64
114,7,0.0,26
115,7,0.0,47
116,7,0.0,47
117,7,0.0,62
118,7,0.0,36
119,7,0.0,48
120,7,0.0,47
121,7,0.0,41
122,7,0.0,36
123,7,0.0,34
124,7,0.0,21
125,7,0.0,12
126,7,0.0,108
127,7,0.0,60
128,7,0.0,55
129,7,0.0,41
130,7,0.0,9
131,7,0.0,30
132,7,0.0,7
133,7,0.0,25
134,7,0.0,71
135,7,0.0,39
136,7,0.0,41
137,7,0.0,43
138,7,0.0,51
139,7,0.0,63
140,7,0.0,101
141,7,0.0,54
142,7,0.0,72
143,7,0.0,72
144,7,0.0,37
145,7,0.0,30
146,7,0.0,56
147,7,0.0,50
148,7,0.0,12
149,7,0.0,52
150,7,0.0,56
151,7,0.0,50
152,7,0.0,29
153,7,0.0,28
154,7,0.0,44
155,7,0.0,22
156,7,0.0,36
157,7,0.0,19
158,7,0.0,33
159,7,0.0,4
160,7,0.0,47
161,7,0.0,24
162,7,0.0,52
163,7,0.0,79
164,7,0.0,9
165,7,0.0,55
166,7,0.0,67
167,7,0.0,24
168,7,0.0,70
169,7,0.0,36
170,7,0.0,47
171,7,0.0,7
172,7,0.0,46
173,7,0.0,47
174,7,0.0,35
175,7,0.0,37
176,7,0.0,81
177,7,0.0,10
178,7,0.0,62
179,7,0.0,44
180,7,0.0,40
181,7,0.0,35
182,7,0.0,38
183,7,0.0,79
184,7,0.0,34
185,7,0.0,53
186,7,0.0,38
187,7,0.0,56
188,7,0.0,33
189,7,0.0,21
190,7,0.0,92
191,7,0.0,46
192,7,0.0,38
193,7,0.0,45
194,7,0.0,12
195,7,0.0,42
196,7,0.0,58
197,7,0.0,17
198,7,0.0,16
199,7,0.0,6
200,7,0.0,33
201,7,0.0,22
202,7,0.0,47
203,7,0.0,28
204,7,0.0,63
205,7,0.0,28
206,7,0.0,15
207,7,0.0,49
208,7,0.0,19
209,7,0.0,77
210,7,0.0,61
211,7,0.0,29
212,7,0.0,27
213,7,0.0,41
214,7,0.0,26
215,7,0.0,16
216,7,0.0,49
217,7,0.0,32
218,7,0.0,40
219,7,0.0,67
220,7,0.0,20
221,7,0.0,37
222,7,0.0,47
223,7,0.0,52
224,7,0.0,11
225,7,0.0,37
226,7,0.0,26
227,7,0.0,83
228,7,0.0,50
229,7,0.0,43
230,7,0.0,6
231,7,0.0,78
232,7,0.0,65
233,7,0.0,30
234,7,0.0,25
235,7,0.0,24
236,7,0.0,76
237,7,0.0,43
238,7,0.0,48
239,7,0.0,37
240,7,0.0,39
241,7,0.0,83
242,7,0.0,97
243,7,0.0,71
244,7,0.0,23
245,7,0.0,31
246,7,0.0,31
247,7,0.0,69
248,7,0.0,9
249,7,0.0,68
250,7,0.0,40
251,7,0.0,35
252,7,0.0,5
253,7,0.0,76
254,7,0.0,27
255,7,0.0,55
256,7,0.0,51
257,7,0.0,41
258,7,0.0,33
259,7,0.0,29
260,7,0.0,10
261,7,0.0,29
262,7,0.0,44
263,7,0.0,83
264,7,0.0,31
265,7,0.0,46
266,7,0.0,59
267,7,0.0,59
268,7,0.0,19
269,7,0.0,24
270,7,0.0,44
271,7,0.0,99
272,7,0.0,6
273,7,0.0,59
274,7,0.0,33
275,7,0.0,30
276,7,0.0,30
277,7,0.0,78
278,7,0.0,30
279,7,0.0,65
280,7,0.0,75
281,7,0.0,62
282,7,0.0,19
283,7,0.0,60
284,7,0.0,22
285,7,0.0,31
286,7,0.0,29
287,7,0.0,48
288,7,0.0,96
289,7,0.0,11
290,7,0.0,9
291,7,0.0,84
292,7,0.0,15
293,7,0.0,65
294,7,0.0,35
295,7,0.0,40
296,7,0.0,73
297,7,0.0,25
298,7,0.0,16
299,7,0.0,36
300,7,0.0,47
301,7,0.0,100
302,7,0.0,26
303,7,0.0,41
304,7,0.0,94
305,7,0.0,33
306,7,0.0,56
307,7,0.0,15
308,7,0.0,39
309,7,0.0,27
310,7,0.0,32
311,7,0.0,28
312,7,0.0,24
313,7,0.0,58
314,7,0.0,43
315,7,0.0,68
316,7,0.0,46
317,7,0.0,37
318,7,0.0,29
319,7,0.0,39
320,7,0.0,66
321,7,0.0,25
322,7,0.0,71
323,7,0.0,60
324,7,0.0,54
325,7,0.0,49
326,7,0.0,34
327,7,0.0,26
328,7,0.0,58
329,7,0.0,28
330,7,0.0,43
331,7,0.0,46
332,7,0.0,17
333,7,0.0,46
334,7,0.0,48
335,7,0.0,62
336,7,0.0,31
337,7,0.0,37
338,7,0.0,51
339,7,0.0,24
340,7,0.0,18
341,7,0.0,50
342,7,0.0,51
343,7,0.0,13
344,7,0.0,65
345,7,0.0,53
346,7,0.0,44
347,7,0.0,36
348,7,0.0,42
349,7,0.0,31
350,7,0.0,72
351,7,0.0,25
352,7,0.0,66
353,7,0.0,27
354,7,0.0,46
355,7,0.0,10
356,7,0.0,36
357,7,0.0,13
358,7,0.0,18
359,7,0.0,54
360,7,0.0,19
361,7,0.0,61
362,7,0.0,33
363,7,0.0,37
364,7,0.0,38
